,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
273,20T,Corey Maggette,24,LAC,0.0,3.0,605,0.005,73,36.0,20.7,5.9,3.1,0.9,0.2,.447,.329,.848,8.6,.157,2004,https://www.basketball-reference.com//players/m/maggeco01.html,https://www.basketball-reference.com/req/202106291/images/players/maggeco01.jpg
274,23,Tayshaun Prince,23,DET,0.0,2.0,605,0.003,82,32.9,10.3,4.8,2.3,0.8,0.8,.467,.363,.766,7.5,.134,2004,https://www.basketball-reference.com//players/p/princta01.html,https://www.basketball-reference.com/req/202106291/images/players/princta01.jpg
275,24T,Raja Bell,27,UTA,0.0,1.0,605,0.002,82,24.6,11.2,2.9,1.3,0.8,0.2,.409,.373,.786,3.7,.088,2004,https://www.basketball-reference.com//players/b/bellra01.html,https://www.basketball-reference.com/req/202106291/images/players/bellra01.jpg
276,24T,Marcus Camby,29,DEN,0.0,1.0,605,0.002,72,30.0,8.6,10.1,1.8,1.2,2.6,.477,.000,.721,6.9,.154,2004,https://www.basketball-reference.com//players/c/cambyma01.html,https://www.basketball-reference.com/req/202106291/images/players/cambyma01.jpg
277,24T,Pau Gasol,23,MEM,0.0,1.0,605,0.002,78,31.5,17.7,7.7,2.5,0.6,1.7,.482,.267,.714,8.1,.159,2004,https://www.basketball-reference.com//players/g/gasolpa01.html,https://www.basketball-reference.com/req/202106291/images/players/gasolpa01.jpg
278,24T,Nenê,21,DEN,0.0,1.0,605,0.002,77,32.5,11.8,6.5,2.2,1.5,0.5,.530,.000,.682,6.1,.117,2004,https://www.basketball-reference.com//players/h/hilarne01.html,https://www.basketball-reference.com/req/202106291/images/players/hilarne01.jpg
279,24T,Stephen Jackson,25,ATL,0.0,1.0,605,0.002,80,36.8,18.1,4.6,3.1,1.8,0.3,.425,.340,.785,4.4,.072,2004,https://www.basketball-reference.com//players/j/jacksst02.html,https://www.basketball-reference.com/req/202106291/images/players/jacksst02.jpg
280,24T,Desmond Mason,26,MIL,0.0,1.0,605,0.002,82,30.9,14.4,4.4,1.9,0.7,0.3,.472,.231,.769,5.7,.107,2004,https://www.basketball-reference.com//players/m/masonde01.html,https://www.basketball-reference.com/req/202106291/images/players/masonde01.jpg
281,24T,Kenny Thomas,26,PHI,0.0,1.0,605,0.002,74,36.5,13.6,10.1,1.5,1.1,0.4,.469,.200,.752,6.6,.118,2004,https://www.basketball-reference.com//players/t/thomake01.html,https://www.basketball-reference.com/req/202106291/images/players/thomake01.jpg
282,24T,Jason Williams,28,MEM,0.0,1.0,605,0.002,72,29.4,10.9,2.0,6.8,1.3,0.1,.407,.330,.837,5.4,.122,2004,https://www.basketball-reference.com//players/w/willija02.html,https://www.basketball-reference.com/req/202106291/images/players/willija02.jpg
283,1,Bobby Simmons,24,LAC,59.0,384.0,615,0.624,75,37.3,16.4,5.9,2.7,1.4,0.2,.466,.435,.846,6.8,.117,2005,https://www.basketball-reference.com//players/s/simmobo01.html,https://www.basketball-reference.com/req/202106291/images/players/simmobo01.jpg
284,2,Dwyane Wade,23,MIA,15.0,129.0,615,0.210,77,38.6,24.1,5.2,6.8,1.6,1.1,.478,.289,.762,11.0,.177,2005,https://www.basketball-reference.com//players/w/wadedw01.html,https://www.basketball-reference.com/req/202106291/images/players/wadedw01.jpg
285,3,Tayshaun Prince,24,DET,14.0,107.0,615,0.174,82,37.1,14.7,5.3,3.0,0.7,0.9,.487,.341,.807,9.4,.149,2005,https://www.basketball-reference.com//players/p/princta01.html,https://www.basketball-reference.com/req/202106291/images/players/princta01.jpg
