,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
365,17T,Arron Afflalo,24,DEN,0.0,1.0,610,0.002,82,27.1,8.8,3.1,1.7,0.6,0.4,.465,.434,.735,4.3,.092,2010,https://www.basketball-reference.com//players/a/afflaar01.html,https://www.basketball-reference.com/req/202106291/images/players/afflaar01.jpg
366,17T,Matt Barnes,29,ORL,0.0,1.0,610,0.002,81,25.9,8.8,5.5,1.7,0.7,0.4,.487,.319,.740,5.9,.135,2010,https://www.basketball-reference.com//players/b/barnema02.html,https://www.basketball-reference.com/req/202106291/images/players/barnema02.jpg
367,17T,Brendan Haywood,30,TOT,0.0,1.0,610,0.002,77,30.6,9.1,9.3,0.6,0.3,2.1,.562,.000,.620,6.7,.137,2010,https://www.basketball-reference.com//players/h/haywobr01.html,https://www.basketball-reference.com/req/202106291/images/players/haywobr01.jpg
368,17T,David Lee,26,NYK,0.0,1.0,610,0.002,81,37.3,20.2,11.7,3.6,1.0,0.5,.545,.000,.812,10.3,.163,2010,https://www.basketball-reference.com//players/l/leeda02.html,https://www.basketball-reference.com/req/202106291/images/players/leeda02.jpg
369,17T,Kenyon Martin,32,DEN,0.0,1.0,610,0.002,58,34.2,11.5,9.4,1.9,1.2,1.1,.456,.276,.557,3.3,.079,2010,https://www.basketball-reference.com//players/m/martike01.html,https://www.basketball-reference.com/req/202106291/images/players/martike01.jpg
370,17T,Luc Mbah a Moute,23,MIL,0.0,1.0,610,0.002,73,25.6,6.2,5.5,1.1,0.8,0.5,.480,.353,.699,4.7,.122,2010,https://www.basketball-reference.com//players/m/mbahalu01.html,https://www.basketball-reference.com/req/202106291/images/players/mbahalu01.jpg
371,17T,Kendrick Perkins,25,BOS,0.0,1.0,610,0.002,78,27.6,10.1,7.6,1.0,0.3,1.7,.602,.000,.582,5.2,.117,2010,https://www.basketball-reference.com//players/p/perkike01.html,https://www.basketball-reference.com/req/202106291/images/players/perkike01.jpg
372,17T,Ben Wallace,35,DET,0.0,1.0,610,0.002,69,28.6,5.5,8.7,1.5,1.2,1.2,.541,.000,.406,4.7,.115,2010,https://www.basketball-reference.com//players/w/wallabe01.html,https://www.basketball-reference.com/req/202106291/images/players/wallabe01.jpg
373,1,Dwight Howard,25,ORL,114.0,585.0,600,0.975,78,37.6,22.9,14.1,1.4,1.4,2.4,.593,.000,.596,14.4,.235,2011,https://www.basketball-reference.com//players/h/howardw01.html,https://www.basketball-reference.com/req/202106291/images/players/howardw01.jpg
374,2,Kevin Garnett,34,BOS,1.0,77.0,600,0.128,71,31.3,14.9,8.9,2.4,1.3,0.8,.528,.200,.862,9.0,.194,2011,https://www.basketball-reference.com//players/g/garneke01.html,https://www.basketball-reference.com/req/202106291/images/players/garneke01.jpg
